[2025-05-12 02:31:07.072] [info]  DiscordSplash.signalReady
[2025-05-12 02:31:07.095] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-12 02:31:07.096] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-12 02:31:07.096] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-12 02:31:07.097] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-12 02:31:07.097] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-12 02:31:07.098] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-12 02:31:07.098] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-12 02:31:07.098] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-12 02:31:07.099] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-12 02:31:07.099] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-12 02:31:07.099] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-12 02:31:07.100] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-12 02:31:07.100] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-12 02:31:07.100] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-12 02:31:07.443] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-12 02:31:07.444] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-12 02:31:07.939] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-12 02:31:07.939] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-12 02:31:07.953] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-12 02:31:07.953] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-12 02:31:07.972] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-05-12 02:31:07.972] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-05-12 02:31:07.982] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-05-12 02:31:07.982] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-05-12 02:31:07.999] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-05-12 02:31:07.999] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
